Group,Team,FIFA Ranking
A,Mexico,15
A,South Africa,60
A,Korea Republic,25
A,Czechia,41
B,Canada,30
B,Bosnia and Herzegovina,65
B,Qatar,55
B,Switzerland,19
C,Brazil,6
C,Morocco,8
C,Haiti,83
C,Scotland,43
D,USA,16
D,Paraguay,40
D,Australia,27
D,Türkiye,22
E,Germany,10
E,Curaçao,82
E,Côte d'Ivoire,34
E,Ecuador,23
F,Netherlands,7
F,Japan,18
F,Sweden,38
F,Tunisia,44
G,Belgium,9
G,Egypt,29
G,IR Iran,21
G,New Zealand,85
H,Spain,2
H,Cabo Verde,69
H,Saudi Arabia,61
H,Uruguay,17
I,France,1
I,Senegal,14
I,Iraq,57
I,Norway,31
J,Argentina,3
J,Algeria,28
J,Austria,24
J,Jordan,63
K,Portugal,5
K,Congo DR,46
K,Uzbekistan,50
K,Colombia,13
L,England,4
L,Croatia,11
L,Ghana,74
L,Panama,33
