ID,Team,Position,Player,Age,Caps,Goals,WC Goals,League,Club
1,Czech Republic,Goalkeeper,Matěj Kovář,26,20,0,0,Royal Dutch Football Association,PSV Eindhoven
2,Czech Republic,Defender,David Zima,25,25,1,0,Football Association of the Czech Republic,Slavia Prague
3,Czech Republic,Defender,Tomáš Holeš,33,41,2,0,Football Association of the Czech Republic,Slavia Prague
4,Czech Republic,Defender,Robin Hranáč,26,14,1,0,German Football Association,TSG Hoffenheim
5,Czech Republic,Defender,Vladimír Coufal,33,62,2,0,German Football Association,TSG Hoffenheim
6,Czech Republic,Defender,Štěpán Chaloupek,23,5,0,0,Football Association of the Czech Republic,Slavia Prague
7,Czech Republic,Defender,Ladislav Krejčí (captain),27,27,5,0,The Football Association,Wolverhampton Wanderers
8,Czech Republic,Midfielder,Vladimír Darida,35,79,8,0,Football Association of the Czech Republic,Hradec Králové
9,Czech Republic,Forward,Adam Hložek,23,43,5,0,German Football Association,TSG Hoffenheim
10,Czech Republic,Forward,Patrik Schick,30,53,26,0,German Football Association,Bayer Leverkusen
11,Czech Republic,Forward,Jan Kuchta,29,31,3,0,Football Association of the Czech Republic,Sparta Prague
12,Czech Republic,Midfielder,Lukáš Červ,25,17,2,0,Football Association of the Czech Republic,Viktoria Plzeň
13,Czech Republic,Forward,Mojmír Chytil,27,22,6,0,Football Association of the Czech Republic,Slavia Prague
14,Czech Republic,Defender,David Jurásek,25,18,1,0,Football Association of the Czech Republic,Slavia Prague
15,Czech Republic,Forward,Pavel Šulc,25,21,5,0,French Football Federation,Lyon
16,Czech Republic,Goalkeeper,Jindřich Staněk,30,14,0,0,Football Association of the Czech Republic,Slavia Prague
17,Czech Republic,Midfielder,Lukáš Provod,29,38,3,0,Football Association of the Czech Republic,Slavia Prague
18,Czech Republic,Midfielder,Michal Sadílek,27,35,1,0,Football Association of the Czech Republic,Slavia Prague
19,Czech Republic,Forward,Tomáš Chorý,31,22,7,0,Football Association of the Czech Republic,Slavia Prague
20,Czech Republic,Defender,Jaroslav Zelený,33,23,0,0,Football Association of the Czech Republic,Sparta Prague
21,Czech Republic,Defender,David Douděra,28,17,2,0,Football Association of the Czech Republic,Slavia Prague
22,Czech Republic,Midfielder,Tomáš Souček,31,90,17,0,The Football Association,West Ham United
23,Czech Republic,Goalkeeper,Lukáš Horníček,23,1,0,0,Portuguese Football Federation,Braga
24,Czech Republic,Midfielder,Alexandr Sojka,23,2,0,0,Football Association of the Czech Republic,Viktoria Plzeň
25,Czech Republic,Midfielder,Hugo Sochůrek,18,1,0,0,Football Association of the Czech Republic,Sparta Prague
26,Czech Republic,Forward,Denis Višinský,23,2,1,0,Football Association of the Czech Republic,Viktoria Plzeň
27,Mexico,Goalkeeper,Raúl Rangel,26,14,0,0,Mexican Football Federation,Guadalajara
28,Mexico,Defender,Jorge Sánchez,28,59,3,0,Hellenic Football Federation,PAOK
29,Mexico,Defender,César Montes,29,67,4,0,Russian Football Union,Lokomotiv Moscow
30,Mexico,Defender,Edson Álvarez (captain),28,98,7,0,Turkish Football Federation,Fenerbahçe
31,Mexico,Defender,Johan Vásquez,27,46,3,0,Italian Football Federation,Genoa
32,Mexico,Midfielder,Érik Lira,26,25,0,0,Mexican Football Federation,Cruz Azul
33,Mexico,Midfielder,Luis Romo,31,63,4,0,Mexican Football Federation,Guadalajara
34,Mexico,Midfielder,Álvaro Fidalgo,29,4,0,0,Royal Spanish Football Federation,Real Betis
35,Mexico,Forward,Raúl Jiménez,35,124,45,0,The Football Association,Fulham
36,Mexico,Forward,Alexis Vega,28,52,7,0,Mexican Football Federation,Toluca
37,Mexico,Forward,Santiago Giménez,25,47,6,0,Italian Football Federation,Milan
