ID,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Home Stadium
1,Friendly,1872-11-30,Scotland,0.0,0.0,England,,True
2,Friendly,1873-03-08,England,4.0,2.0,Scotland,,True
3,Friendly,1874-03-07,Scotland,2.0,1.0,England,,True
4,Friendly,1875-03-06,England,2.0,2.0,Scotland,,True
5,Friendly,1876-03-04,Scotland,3.0,0.0,England,,True
6,Friendly,1876-03-25,Scotland,4.0,0.0,Wales,,True
7,Friendly,1877-03-03,England,1.0,3.0,Scotland,,True
8,Friendly,1877-03-05,Wales,0.0,2.0,Scotland,,True
9,Friendly,1878-03-02,Scotland,7.0,2.0,England,,True
10,Friendly,1878-03-23,Scotland,9.0,0.0,Wales,,True
11,Friendly,1879-01-18,England,2.0,1.0,Wales,,True
12,Friendly,1879-04-05,England,5.0,4.0,Scotland,,True
13,Friendly,1879-04-07,Wales,0.0,3.0,Scotland,,True
14,Friendly,1880-03-13,Scotland,5.0,4.0,England,,True
15,Friendly,1880-03-15,Wales,2.0,3.0,England,,True
16,Friendly,1880-03-27,Scotland,5.0,1.0,Wales,,True
17,Friendly,1881-02-26,England,0.0,1.0,Wales,,True
18,Friendly,1881-03-12,England,1.0,6.0,Scotland,,True
19,Friendly,1881-03-14,Wales,1.0,5.0,Scotland,,True
20,Friendly,1882-02-18,Northern Ireland,0.0,13.0,England,,True
21,Friendly,1882-02-25,Wales,7.0,1.0,Northern Ireland,,True
22,Friendly,1882-03-11,Scotland,5.0,1.0,England,,True
23,Friendly,1882-03-13,Wales,5.0,3.0,England,,True
24,Friendly,1882-03-25,Scotland,5.0,0.0,Wales,,True
25,Friendly,1883-02-03,England,5.0,0.0,Wales,,True
26,Friendly,1883-02-24,England,7.0,0.0,Northern Ireland,,True
27,Friendly,1883-03-10,England,2.0,3.0,Scotland,,True
28,Friendly,1883-03-12,Wales,0.0,3.0,Scotland,,True
29,Friendly,1883-03-17,Northern Ireland,1.0,1.0,Wales,,True
30,British Home Championship,1884-01-26,Northern Ireland,0.0,5.0,Scotland,,True
31,British Home Championship,1884-02-09,Wales,6.0,0.0,Northern Ireland,,True
32,British Home Championship,1884-02-23,Northern Ireland,1.0,8.0,England,,True
33,British Home Championship,1884-03-15,Scotland,1.0,0.0,England,,True
34,British Home Championship,1884-03-17,Wales,0.0,4.0,England,,True
35,British Home Championship,1884-03-29,Scotland,4.0,1.0,Wales,,True
36,British Home Championship,1885-02-28,England,4.0,0.0,Northern Ireland,,True
37,British Home Championship,1885-03-14,England,1.0,1.0,Wales,,True
38,British Home Championship,1885-03-14,Scotland,8.0,2.0,Northern Ireland,,True
39,British Home Championship,1885-03-21,England,1.0,1.0,Scotland,,True
40,British Home Championship,1885-03-23,Wales,1.0,8.0,Scotland,,True
41,British Home Championship,1885-04-11,Northern Ireland,2.0,8.0,Wales,,True
42,Friendly,1885-11-28,United States,0.0,1.0,Canada,,True
43,British Home Championship,1886-02-27,Wales,5.0,0.0,Northern Ireland,,True
44,British Home Championship,1886-03-13,Northern Ireland,1.0,6.0,England,,True
45,British Home Championship,1886-03-20,Northern Ireland,2.0,7.0,Scotland,,True
46,British Home Championship,1886-03-27,Scotland,1.0,1.0,England,,True
47,British Home Championship,1886-03-29,Wales,1.0,3.0,England,,True
48,British Home Championship,1886-04-10,Scotland,4.0,1.0,Wales,,True
49,Friendly,1886-11-25,United States,3.0,2.0,Canada,,True
50,British Home Championship,1887-02-05,England,7.0,0.0,Northern Ireland,,True
51,British Home Championship,1887-02-19,Scotland,4.0,1.0,Northern Ireland,,True
52,British Home Championship,1887-02-26,England,4.0,0.0,Wales,,True
53,British Home Championship,1887-03-12,Northern Ireland,4.0,1.0,Wales,,True
54,British Home Championship,1887-03-19,England,2.0,3.0,Scotland,,True
55,British Home Championship,1887-03-21,Wales,0.0,2.0,Scotland,,True
56,British Home Championship,1888-02-04,England,5.0,1.0,Wales,,True
57,British Home Championship,1888-03-03,Wales,11.0,0.0,Northern Ireland,,True
58,British Home Championship,1888-03-10,Scotland,5.0,1.0,Wales,,True
59,British Home Championship,1888-03-17,Scotland,0.0,5.0,England,,True
60,British Home Championship,1888-03-24,Northern Ireland,2.0,10.0,Scotland,,True
61,British Home Championship,1888-04-07,Northern Ireland,1.0,5.0,England,,True
62,Friendly,1888-09-19,Scotland,4.0,0.0,Canada,,True
63,British Home Championship,1889-02-23,England,4.0,1.0,Wales,,True
64,British Home Championship,1889-03-02,England,6.0,1.0,Northern Ireland,,True
65,British Home Championship,1889-03-09,Scotland,7.0,0.0,Northern Ireland,,True
66,British Home Championship,1889-04-13,England,2.0,3.0,Scotland,,True
67,British Home Championship,1889-04-15,Wales,0.0,0.0,Scotland,,True
68,British Home Championship,1889-04-27,Northern Ireland,1.0,3.0,Wales,,True
69,British Home Championship,1890-02-08,Wales,5.0,2.0,Northern Ireland,,False
70,British Home Championship,1890-03-15,Northern Ireland,1.0,9.0,England,,True
71,British Home Championship,1890-03-15,Wales,1.0,3.0,England,,True
72,British Home Championship,1890-03-22,Scotland,5.0,0.0,Wales,,True
73,British Home Championship,1890-03-29,Northern Ireland,1.0,4.0,Scotland,,True
74,British Home Championship,1890-04-05,Scotland,1.0,1.0,England,,True
75,British Home Championship,1891-02-07,Northern Ireland,7.0,2.0,Wales,,True
76,British Home Championship,1891-03-07,England,4.0,1.0,Wales,,True
77,British Home Championship,1891-03-07,England,6.0,1.0,Northern Ireland,,True
78,British Home Championship,1891-03-21,Wales,3.0,4.0,Scotland,,True
79,British Home Championship,1891-03-28,Scotland,2.0,1.0,Northern Ireland,,True
80,British Home Championship,1891-04-04,England,2.0,1.0,Scotland,,True
81,British Home Championship,1892-02-27,Wales,1.0,1.0,Northern Ireland,,True
82,British Home Championship,1892-03-05,Northern Ireland,0.0,2.0,England,,True
83,British Home Championship,1892-03-05,Wales,0.0,2.0,England,,True
84,British Home Championship,1892-03-19,Northern Ireland,2.0,3.0,Scotland,,True
85,British Home Championship,1892-03-26,Scotland,6.0,1.0,Wales,,True
86,British Home Championship,1892-04-02,Scotland,1.0,4.0,England,,True
87,British Home Championship,1893-02-25,England,6.0,1.0,Northern Ireland,,True
88,British Home Championship,1893-03-13,England,6.0,0.0,Wales,,True
89,British Home Championship,1893-03-18,Wales,0.0,8.0,Scotland,,True
90,British Home Championship,1893-03-25,Scotland,6.0,1.0,Northern Ireland,,True
91,British Home Championship,1893-04-01,England,5.0,2.0,Scotland,,True
92,British Home Championship,1894-02-24,Wales,4.0,1.0,Northern Ireland,,True
93,British Home Championship,1894-03-03,Northern Ireland,2.0,2.0,England,,True
94,British Home Championship,1894-03-12,Wales,1.0,5.0,England,,True
95,British Home Championship,1894-03-24,Scotland,5.0,2.0,Wales,,True
96,British Home Championship,1894-03-31,Northern Ireland,1.0,2.0,Scotland,,True
97,British Home Championship,1894-04-07,Scotland,2.0,2.0,England,,True
98,British Home Championship,1895-03-09,England,9.0,0.0,Northern Ireland,,True
99,British Home Championship,1895-03-16,Northern Ireland,2.0,2.0,Wales,,True
100,British Home Championship,1895-03-18,England,1.0,1.0,Wales,,True
101,British Home Championship,1895-03-23,Wales,2.0,2.0,Scotland,,True
102,British Home Championship,1895-03-30,Scotland,3.0,1.0,Northern Ireland,,True
103,British Home Championship,1895-04-06,England,3.0,0.0,Scotland,,True
